,Accuracy,Accuracy_CI,Precision,Precision_CI,Recall,Recall_CI,F1-score,F1_CI,AUC,AUC_CI,Brier Score,Brier_CI,AP
LightGBM,0.9603960396039604,"(0.9207920792079208, 0.9900990099009901)",1.0,"(1.0, 1.0)",0.8518518518518519,"(0.7, 0.9615384615384616)",0.92,"(0.8235294117647058, 0.9803921568627451)",0.9904904904904905,"(0.9723073593073593, 1.0)",0.03643530720653082,"(0.009900990099009901, 0.07920792079207921)",0.9801187084520415
Random Forest,0.9603960396039604,"(0.9207920792079208, 0.9900990099009901)",1.0,"(1.0, 1.0)",0.8518518518518519,"(0.7, 0.9615384615384616)",0.92,"(0.8235294117647058, 0.9803921568627451)",0.980980980980981,"(0.947150032615786, 1.0)",0.04216645786612814,"(0.009900990099009901, 0.07920792079207921)",0.969395375055752
XGBoost,0.9702970297029703,"(0.9306930693069307, 1.0)",1.0,"(1.0, 1.0)",0.8888888888888888,"(0.758594566353187, 1.0)",0.9411764705882353,"(0.8627281947261664, 1.0)",0.9797297297297297,"(0.9425278526232933, 1.0)",0.03515119079769865,"(0.0, 0.06930693069306931)",0.9683845933845932
SVM,0.9405940594059405,"(0.8910891089108911, 0.9801980198019802)",1.0,"(1.0, 1.0)",0.7777777777777778,"(0.6110507246376813, 0.9231481481481482)",0.875,"(0.758574091332712, 0.9600384615384615)",0.978978978978979,"(0.9499851190476192, 0.9972184238432774)",0.05222200824890618,"(0.019801980198019802, 0.10891089108910891)",0.9572560556141683
CatBoost,0.9603960396039604,"(0.9207920792079208, 0.9900990099009901)",1.0,"(1.0, 1.0)",0.8518518518518519,"(0.7, 0.9615384615384616)",0.92,"(0.8235294117647058, 0.9803921568627451)",0.9769769769769769,"(0.9397787068004458, 0.998998998998999)",0.04098507682959713,"(0.009900990099009901, 0.07920792079207921)",0.961491315030335
Naive Bayes,0.900990099009901,"(0.8415841584158416, 0.9504950495049505)",0.7931034482758621,"(0.6363636363636364, 0.9232142857142857)",0.8518518518518519,"(0.7083333333333334, 0.9655459770114942)",0.8214285714285714,"(0.7, 0.9130568974771872)",0.9719719719719719,"(0.9399916559691912, 0.9928722625413802)",0.07855484744167274,"(0.04950495049504951, 0.15841584158415842)",0.9392934698692339
Logistic Regression,0.8811881188118812,"(0.8215346534653467, 0.9405940594059405)",0.7586206896551724,"(0.6, 0.8966379310344827)",0.8148148148148148,"(0.653804347826087, 0.9524350649350648)",0.7857142857142857,"(0.6538265306122449, 0.8857936507936507)",0.9657157157157157,"(0.929974358974359, 0.9894549777296257)",0.07202939052344744,"(0.0594059405940594, 0.17846534653465324)",0.9175864736162216
KNN,0.9306930693069307,"(0.8811881188118812, 0.9801980198019802)",1.0,"(1.0, 1.0)",0.7407407407407407,"(0.5832236842105265, 0.8966379310344827)",0.851063829787234,"(0.7367543859649123, 0.9455023923444975)",0.9624624624624623,"(0.9053423641445245, 0.9955496098104794)",0.0575414091785973,"(0.019801980198019802, 0.1188118811881188)",0.9366606214584021
Decision Tree,0.9306930693069307,"(0.8712871287128713, 0.9702970297029703)",0.9545454545454546,"(0.8460526315789475, 1.0)",0.7777777777777778,"(0.6059090909090911, 0.9230769230769231)",0.8571428571428571,"(0.7271760154738879, 0.944469696969697)",0.9504504504504505,"(0.8860504874145206, 0.9961329816017316)",0.05488540520718739,"(0.0297029702970297, 0.12871287128712872)",0.9180945836519137
